kind,keyword,word1,word2
keyword,worst,,
keyword,horrible,,
keyword,amazing,,
keyword,great,,
keyword,delicious,,
keyword,bad,,
keyword,rude,,
keyword,best,,
keyword,love,,
keyword,order,,
keyword,friendly,,
keyword,terrible,,
keyword,reviews,,
keyword,never,,
keyword,highly,,
keyword,ordered,,
keyword,ok,,
keyword,money,,
keyword,sickening,,
keyword,said,,
keyword,spot,,
keyword,charge,,
keyword,robbed,,
keyword,asked,,
keyword,fast,,
keyword,minutes,,
keyword,favorite,,
keyword,nice,,
keyword,gem,,
keyword,told,,
keyword,perfect,,
keyword,stolen,,
keyword,fresh,,
keyword,recommend,,
keyword,overpriced,,
keyword,phone,,
keyword,really,,
keyword,delivery,,
keyword,waste,,
keyword,super,,
keyword,staff,,
keyword,poor,,
keyword,manager,,
keyword,restaurant,,
keyword,definitely,,
keyword,called,,
keyword,dinero,,
keyword,excellent,,
keyword,garbage,,
keyword,try,,
keyword,okay,,
keyword,disgusting,,
keyword,welcoming,,
keyword,shame,,
keyword,expensive,,
keyword,also,,
keyword,waited,,
keyword,customer,,
pair,,rude,order
pair,,great,love
pair,,worst,order
pair,,worst,rude
pair,,great,amazing
pair,,amazing,best
pair,,great,good
pair,,worst,bad
pair,,worst,horrible
pair,,horrible,bad
pair,,bad,order
pair,,great,best
pair,,bad,never
pair,,amazing,highly
pair,,reviews,never
pair,,amazing,perfect
pair,,amazing,definitely
pair,,amazing,love
pair,,worst,terrible
pair,,horrible,rude
pair,,great,nice
pair,,horrible,order
pair,,bad,rude
pair,,reviews,store
pair,,worst,good
pair,,horrible,terrible
pair,,worst,reviews
pair,,bad,ok
pair,,great,always
pair,,order,ok
pair,,rude,ordered
pair,,bad,good
pair,,worst,never
pair,,good,差评
pair,,waste,got
pair,,best,highly
pair,,best,love
pair,,good,negative
pair,,good,always
pair,,best,good
pair,,rude,like
pair,,money,told
pair,,bad,like
pair,,great,place
pair,,bad,terrible
pair,,love,highly
pair,,love,excellent
pair,,amazing,always
pair,,worst,ordered
pair,,amazing,super
pair,,horrible,good
pair,,great,service
pair,,love,definitely
pair,,love,perfect
pair,,amazing,gem
pair,,terrible,money
pair,,rude,good
pair,,great,definitely
pair,,great,really
pair,,love,nice
pair,,worst,money
pair,,good,love
pair,,best,definitely
pair,,amazing,favorite
pair,,literally,gave
pair,,best,place
pair,,order,good
pair,,even,decent
pair,,great,favorite
pair,,ok,good
pair,,gem,highly
pair,,nice,like
pair,,best,favorite
pair,,nice,always
pair,,good,service
pair,,reviews,told
pair,,good,place
pair,,worst,like
pair,,horrible,money
pair,,best,super
pair,,good,like
pair,,good,nice
pair,,got,okay
pair,,bad,asked
pair,,highly,super
pair,,best,excellent
pair,,horrible,never
pair,,good,food
pair,,never,money
pair,,favorite,perfect
pair,,ok,like
pair,,worst,overpriced
pair,,best,always
pair,,horrible,even
pair,,love,place
pair,,favorite,definitely
pair,,great,highly
pair,,good,definitely
pair,,best,nice
